image,Default,Tuned,Change (%)
0e538f39-1d30436c-c23_jpg.rf.9047888a529b706544e17eba3f766c2b.jpg,1,1,0.0
0e538f39-1d30436c-c23_jpg.rf.e95d5f144f4e56d8695d31bac0260826.jpg,1,1,0.0
116e2e9b-6b433071-download_2_jpeg_jpg.rf.0260e58ac045b5070a0cb246b33ef23b.jpg,1,1,0.0
116e2e9b-6b433071-download_2_jpeg_jpg.rf.0d3fbdee49eaebbd57666e5bb5f11ab5.jpg,2,2,0.0
116e2e9b-6b433071-download_2_jpeg_jpg.rf.15f70dfa0f543b1db1b08ee3bad979f0.jpg,1,1,0.0
116e2e9b-6b433071-download_2_jpeg_jpg.rf.3511a3a6944eb23ba2d980ec1554c5e1.jpg,1,1,0.0
116e2e9b-6b433071-download_2_jpeg_jpg.rf.40f106d769603a513f277d5b22d6f893.jpg,3,2,-33.33
116e2e9b-6b433071-download_2_jpeg_jpg.rf.53b998ae48f34a9911f29cb710055007.jpg,1,1,0.0
116e2e9b-6b433071-download_2_jpeg_jpg.rf.766d146f9bca48d82da47ca34c812f03.jpg,2,2,0.0
116e2e9b-6b433071-download_2_jpeg_jpg.rf.80e2f3e5f80a97f5ec04ac9a5ba71d65.jpg,1,1,0.0
116e2e9b-6b433071-download_2_jpeg_jpg.rf.917197317eebd3db9829c6bc051b6e82.jpg,1,1,0.0
116e2e9b-6b433071-download_2_jpeg_jpg.rf.ca0b2b214afbd6a11d837c2c6efd183c.jpg,1,1,0.0
116e2e9b-6b433071-download_2_jpeg_jpg.rf.cb01b39e4b9b8cb723161bf482059435.jpg,1,1,0.0
116e2e9b-6b433071-download_2_jpeg_jpg.rf.d33968c0ae9fa87eb29c165c6b5f7837.jpg,1,1,0.0
116e2e9b-6b433071-download_2_jpeg_jpg.rf.e074bd687fb174fce2153ef18b4d6e9b.jpg,1,1,0.0
116e2e9b-6b433071-download_2_jpeg_jpg.rf.ed59bb38f6a03aaba963f75c802411e2.jpg,1,1,0.0
116e2e9b-6b433071-download_2_jpeg_jpg.rf.f5aa0c75ab8b7af6f6c269242c2edc90.jpg,2,2,0.0
1723687d-6dd44d6e-Centerline-Crack_jpg.rf.6c820bdaf6c7e1e74d390ae2b5f78524.jpg,1,1,0.0
19cacbd9-61c6b81f-c5_jpg.rf.140a2ffdbd47d5448a6462d612890346.jpg,2,1,-50.0
19cacbd9-61c6b81f-c5_jpg.rf.269b6fd441b5106128f4da6394f9947f.jpg,4,3,-25.0
19cacbd9-61c6b81f-c5_jpg.rf.58f7a1c314d7c34b70a121256c0cbaa4.jpg,3,2,-33.33
19cacbd9-61c6b81f-c5_jpg.rf.6aaf9da8f3ae23e5120dfdb63023ed47.jpg,3,3,0.0
19cacbd9-61c6b81f-c5_jpg.rf.75216a152a138058d39bf13ba7263772.jpg,4,2,-50.0
19cacbd9-61c6b81f-c5_jpg.rf.8061a889538681d2998202a6fa95ae9a.jpg,2,2,0.0
19cacbd9-61c6b81f-c5_jpg.rf.cd5d60831abbc083f1fa4024ec487db1.jpg,3,2,-33.33
19cacbd9-61c6b81f-c5_jpg.rf.dfffa19631775ae6386e6f5a27bb9009.jpg,4,4,0.0
19cacbd9-61c6b81f-c5_jpg.rf.fab8c7d32769a393551bd2bdc74d27ed.jpg,3,3,0.0
1a9673ad-2758133c-c17_jpg.rf.4089eb6321c58dce711c8382ef94a1fc.jpg,1,1,0.0
20220312232822_14196_jpg.rf.0dcffe52f3fcfbb6bfc67f2089c4077d.jpg,1,1,0.0
20220312232822_14196_jpg.rf.6a307fb8b3716ec70c2bca4c3e39672d.jpg,1,1,0.0
20220312232822_14196_jpg.rf.72da56b513a6dc4f09edb9b1725d736b.jpg,1,1,0.0
20220608_103527_jpg.rf.07d48adab96ab34bfdd0722ba4d1f719.jpg,2,2,0.0
20220608_103527_jpg.rf.38427fde9684eafdbe1c3ff63e48cf5c.jpg,2,2,0.0
20220608_103527_jpg.rf.906752b1e89375740b7a48646f4095ef.jpg,3,2,-33.33
22-possible-causes-of-weld-metal-porosity-weld-beads_jpg.rf.66705969aae55f6f82c7ccf08cd5f61e.jpg,4,4,0.0
